Epoch Number 79 - Training Accuracy: 91.03333333333333 | Validation Error: 91.45 | Generalization Accuracy: 91.175
Epoch Number 80 - Training Accuracy: 91.01666666666667 | Validation Error: 91.60000000000001 | Generalization Accuracy: 91.10000000000001
Epoch Number 81 - Training Accuracy: 90.975 | Validation Error: 91.625 | Generalization Accuracy: 91.10000000000001
Epoch Number 82 - Training Accuracy: 91.025 | Validation Error: 91.60000000000001 | Generalization Accuracy: 91.175
Epoch Number 83 - Training Accuracy: 91.07499999999999 | Validation Error: 91.57499999999999 | Generalization Accuracy: 91.2
Epoch Number 84 - Training Accuracy: 91.16666666666666 | Validation Error: 91.625 | Generalization Accuracy: 91.175
Epoch Number 85 - Training Accuracy: 91.19166666666668 | Validation Error: 91.64999999999999 | Generalization Accuracy: 91.3
Epoch Number 86 - Training Accuracy: 91.40833333333333 | Validation Error: 91.675 | Generalization Accuracy: 91.2
Epoch Number 87 - Training Accuracy: 91.46666666666667 | Validation Error: 91.64999999999999 | Generalization Accuracy: 91.3
Epoch Number 88 - Training Accuracy: 91.45 | Validation Error: 91.64999999999999 | Generalization Accuracy: 91.4
Epoch Number 89 - Training Accuracy: 91.45 | Validation Error: 91.975 | Generalization Accuracy: 91.60000000000001
Epoch Number 90 - Training Accuracy: 91.54166666666667 | Validation Error: 91.975 | Generalization Accuracy: 91.725
Epoch Number 91 - Training Accuracy: 91.58333333333334 | Validation Error: 92.05 | Generalization Accuracy: 91.675
Epoch Number 92 - Training Accuracy: 91.66666666666666 | Validation Error: 92.025 | Generalization Accuracy: 91.725
Epoch Number 93 - Training Accuracy: 91.65833333333333 | Validation Error: 92.05 | Generalization Accuracy: 91.64999999999999
Epoch Number 94 - Training Accuracy: 91.625 | Validation Error: 92.125 | Generalization Accuracy: 91.675
Epoch Number 95 - Training Accuracy: 91.7 | Validation Error: 92.10000000000001 | Generalization Accuracy: 91.55
Epoch Number 96 - Training Accuracy: 91.61666666666667 | Validation Error: 92.07499999999999 | Generalization Accuracy: 91.55
Epoch Number 97 - Training Accuracy: 91.63333333333334 | Validation Error: 92.10000000000001 | Generalization Accuracy: 91.55
Epoch Number 98 - Training Accuracy: 91.8 | Validation Error: 92.15 | Generalization Accuracy: 91.55
Epoch Number 99 - Training Accuracy: 91.71666666666667 | Validation Error: 92.10000000000001 | Generalization Accuracy: 91.60000000000001
Epoch Number 100 - Training Accuracy: 91.725 | Validation Error: 92.10000000000001 | Generalization Accuracy: 91.625
Epoch Number 101 - Training Accuracy: 91.83333333333333 | Validation Error: 92.15 | Generalization Accuracy: 91.625
Epoch Number 102 - Training Accuracy: 91.9 | Validation Error: 92.2 | Generalization Accuracy: 91.64999999999999
Epoch Number 103 - Training Accuracy: 91.89166666666667 | Validation Error: 92.30000000000001 | Generalization Accuracy: 91.825
Epoch Number 104 - Training Accuracy: 91.975 | Validation Error: 92.27499999999999 | Generalization Accuracy: 91.8
Epoch Number 105 - Training Accuracy: 92.01666666666667 | Validation Error: 92.25 | Generalization Accuracy: 91.8
Epoch Number 106 - Training Accuracy: 91.91666666666667 | Validation Error: 92.25 | Generalization Accuracy: 91.75
Epoch Number 107 - Training Accuracy: 92.01666666666667 | Validation Error: 92.30000000000001 | Generalization Accuracy: 91.95
Epoch Number 108 - Training Accuracy: 92.05833333333334 | Validation Error: 92.30000000000001 | Generalization Accuracy: 91.95
Epoch Number 109 - Training Accuracy: 91.9 | Validation Error: 92.325 | Generalization Accuracy: 91.85
Epoch Number 110 - Training Accuracy: 91.95833333333333 | Validation Error: 92.4 | Generalization Accuracy: 91.85
Epoch Number 111 - Training Accuracy: 92.03333333333333 | Validation Error: 92.35 | Generalization Accuracy: 91.77499999999999
Epoch Number 112 - Training Accuracy: 91.95 | Validation Error: 92.45 | Generalization Accuracy: 91.9
Epoch Number 113 - Training Accuracy: 92.08333333333333 | Validation Error: 92.45 | Generalization Accuracy: 91.9
Epoch Number 114 - Training Accuracy: 92.10000000000001 | Validation Error: 92.5 | Generalization Accuracy: 91.95
Epoch Number 115 - Training Accuracy: 92.10000000000001 | Validation Error: 92.5 | Generalization Accuracy: 92.025
Epoch Number 116 - Training Accuracy: 92.05 | Validation Error: 92.72500000000001 | Generalization Accuracy: 92.07499999999999
Epoch Number 117 - Training Accuracy: 91.98333333333333 | Validation Error: 92.72500000000001 | Generalization Accuracy: 92.05
Epoch Number 118 - Training Accuracy: 92.125 | Validation Error: 92.72500000000001 | Generalization Accuracy: 92.07499999999999
Epoch Number 119 - Training Accuracy: 92.03333333333333 | Validation Error: 92.575 | Generalization Accuracy: 92.15
Epoch Number 120 - Training Accuracy: 92.2 | Validation Error: 92.55 | Generalization Accuracy: 92.175
Epoch Number 121 - Training Accuracy: 92.06666666666666 | Validation Error: 92.625 | Generalization Accuracy: 92.15
Epoch Number 122 - Training Accuracy: 92.10000000000001 | Validation Error: 92.60000000000001 | Generalization Accuracy: 92.175
Epoch Number 123 - Training Accuracy: 92.39166666666667 | Validation Error: 92.575 | Generalization Accuracy: 92.225
Epoch Number 124 - Training Accuracy: 92.225 | Validation Error: 92.7 | Generalization Accuracy: 92.225
Epoch Number 125 - Training Accuracy: 92.30833333333334 | Validation Error: 92.7 | Generalization Accuracy: 92.325
Epoch Number 126 - Training Accuracy: 92.29166666666667 | Validation Error: 92.675 | Generalization Accuracy: 92.35
Epoch Number 127 - Training Accuracy: 92.33333333333333 | Validation Error: 92.85 | Generalization Accuracy: 92.375
Epoch Number 128 - Training Accuracy: 92.35833333333333 | Validation Error: 92.77499999999999 | Generalization Accuracy: 92.5
Epoch Number 129 - Training Accuracy: 92.38333333333333 | Validation Error: 92.925 | Generalization Accuracy: 92.45
Epoch Number 130 - Training Accuracy: 92.575 | Validation Error: 92.825 | Generalization Accuracy: 92.45
Epoch Number 131 - Training Accuracy: 92.34166666666667 | Validation Error: 92.9 | Generalization Accuracy: 92.5
Epoch Number 132 - Training Accuracy: 92.39166666666667 | Validation Error: 93.10000000000001 | Generalization Accuracy: 92.65
Epoch Number 133 - Training Accuracy: 92.35 | Validation Error: 93.05 | Generalization Accuracy: 92.65
